period(s),gaslimit,tps(tx/s),latency(ms),contracttime(渭s),dbreaadtime(渭s),dbwritetime(渭s),blockcommittime(ms)
5,15150000,123.0769231,33286.51319,85074922.38,4344.620571,4016.032357,4994.615385
5,15300000,123.0769231,32835.94338,8.113235976,4016.950571,5371.674357,4994.230769
5,15450000,123.0769231,32319.19748,8.101643899,3332.528786,5264.876214,4995.769231
5,15600000,123.0769231,31794.85064,8.095513414,4393.295357,5229.971571,4993.538462
5,15750000,123.0769231,31306.60767,8.083275583,4716.670429,5343.391571,4993.846154
5,15900000,133.3333333,30845.11861,7.500692201,4337.127154,6294.137615,4995.25
5,16050000,133.3333333,30443.47619,7.491011754,3768.184692,6426.956538,4995.25
5,16200000,133.3333333,30061.42757,7.480778085,4405.778923,5923.976615,4994.166667
5,16350000,133.3333333,29634.40345,7.47355714,6549.742077,6420.547231,4992.333333
5,16500000,133.3333333,29225.39283,7.463137345,5854.065923,6681.484462,4993
5,16650000,133.3333333,28782.16523,7.456641432,5367.082538,6356.573923,4993.166667
5,16800000,145.4545455,28401.4232,6.876159927,4212.18125,6929.724917,4994.272727
5,16950000,145.4545455,28054.34621,6.863927672,3504.559333,7323.491083,4996.181818
5,17100000,145.4545455,27696.11099,6.858939186,4339.513583,6949.4455,4994.454545
5,17250000,145.4545455,27362.23135,6.852706097,3692.614417,7245.291417,4995.090909
5,17400000,145.4545455,27040.15698,6.840328467,4634.931583,7617.302667,4994.090909
5,17550000,145.4545455,26700.60617,6.835269993,4012.865167,7152.98525,4995.363636
5,17700000,145.4545455,26274.71804,6.831019572,4083.212,7400.024,4994.545455
5,17850000,160,25965.45494,6.24877827,4204.237364,7488.799182,4995
5,18000000,160,25706.60292,6.812010444,4427.098583,8063.295333,4995.545455
5,18150000,160,25370.26697,6.80170068,3448.9235,7036.989417,4996.454545
5,18300000,160,25077.66442,6.79368135,4133.1405,7071.938,4995.363636
5,18450000,160,24818.30046,6.220676394,4269.043818,8015.976273,4995.2
5,18600000,160,24460.96475,6.214100102,4272.019,7269.916917,4994.454545
5,18750000,160,24156.29446,7.333859867,1519.242167,2354.059646,4997.468085
5,18900000,177.7777778,23045.53068,25.82631638,4797.0007,8843.361,4995
5,19050000,177.7777778,22809.7899,6.166741422,4458.255364,7934.469455,4995.4
5,19200000,177.7777778,22584.44457,5.601366487,4878.1337,8583.5136,4994
5,19350000,177.7777778,22369.04162,5.590288655,8947.1936,8834.8275,4990.444444
5,19500000,177.7777778,22142.35596,5.588734913,5268.6929,8633.7917,4993.888889
5,19650000,177.7777778,21836.53306,5.579147131,4456.5107,10831.2669,4992.888889
5,19800000,177.7777778,21653.27209,5.574868993,5018.3041,8104.0155,4994.222222
5,19950000,177.7777778,21435.65054,5.566878272,4482.8462,8669.2006,4993.555556
5,20100000,177.7777778,21152.46582,5.562291435,5115.2064,8735.9184,4993.222222
5,20250000,200,21006.83977,5.004,8439.627889,9325.694222,4990
5,20400000,200,20828.69929,4.994006659,745.3759365,1662.536175,4998.403226
5,20550000,200,19515.17485,34.69019824,5394.275667,9487.645444,4994.125
5,20700000,200,19398.79828,4.950055006,5263.471111,9472.803111,4994.125
5,20850000,200,19275.39783,4.944291836,8812.558778,11909.55389,4988.25
5,21000000,200,18975.4137,4.938865108,5497.724889,9928.729667,4992.75
5,21150000,200,18817.39645,4.9331287,4959.602556,9662.117111,4994
5,21300000,200,18675.01037,4.92739816,5444.499889,9953.902778,4992.125
5,21450000,228.5714286,18518.04387,4.381384666,5552.300875,10568.37712,4996
5,21600000,228.5714286,18334.06712,4.916976185,5221.011111,9877.139333,4993.75
5,21750000,228.5714286,18130.85864,4.362505456,6323.23975,10047.55363,4994.285714
5,21900000,228.5714286,18090.75916,4.360693264,6225.330625,10389.0615,4994.428571
5,22050000,228.5714286,17966.80965,4.902014154,5495.346222,10573.363,4994.875
5,22200000,228.5714286,17805.93251,4.346818923,5170.081625,11947.084,4995.571429
5,22350000,228.5714286,17633.64117,4.345247148,6329.8955,10730.12875,4993.857143
5,22500000,228.5714286,17527.09286,4.338795442,6252.74675,11030.94213,4992.571429
5,22650000,228.5714286,17378.02512,4.336693767,8880.588125,10993.37825,4986.142857
5,22800000,228.5714286,17249.26972,4.327847553,6019.782375,11527.85987,4993.857143
5,22950000,228.5714286,17127.97975,4.325546182,10383.83525,10539.49625,4988
5,23100000,228.5714286,16964.82777,4.322566706,6180.910125,10762.121,4992.714286
5,23250000,228.5714286,16881.20835,4.315636128,6176.809625,9434.91,4993
5,23400000,228.5714286,16693.97525,4.311705109,8977.6165,9239.6935,4988.285714
