period(s),gaslimit,tps(tx/s),latency(ms),contracttime(μs),dbreaadtime(μs),dbwritetime(μs),blockcommittime(ms),readtime(ms),blockpropagationtime(ms)
5,15150000,123.0769231,33140.92426,8.122477383,4694.695214,4713.219357,4994.615385,1.34ms,blockpropagation
5,15300000,123.0769231,32619.13511,8.109489051,2930.476,5051.888357,4996.461538,1.37ms,blockpropagation
5,15450000,123.0769231,32129.08286,8.100567064,5534.750857,5636.377,4994.076923,1.73ms,blockpropagation
5,15600000,123.0769231,31670.1736,8.090047393,3717.442,5729.856429,4994.692308,1.54ms,blockpropagation
5,15750000,123.0769231,31174.05787,8.080928192,4794.1995,5854.619571,4994.076923,1.5ms,blockpropagation
5,15900000,133.3333333,30706.96,7.497001845,4373.222846,6312.304615,4994.25,1.58ms,blockpropagation
5,16050000,133.3333333,30267.10349,8.061960152,4879.909071,6286.544,4994.461538,1.57ms,blockpropagation
5,16200000,133.3333333,29855.04749,8.057287473,5664.415071,5759.198357,4992.769231,1.61ms,blockpropagation
5,16350000,133.3333333,29367.48819,7.463403424,5115.025769,7104.354231,4994.166667,1.61ms,blockpropagation
5,16500000,133.3333333,29001.05062,7.459084127,3712.613769,6862.292538,4994.583333,1.8ms,blockpropagation
5,16650000,133.3333333,28593.006,7.450596057,4228.406,6177.319769,4993.583333,1.85ms,blockpropagation
5,16800000,145.4545455,28198.94151,6.871765514,4000.586417,7373.715083,4995.545455,1.62ms,blockpropagation
5,16950000,145.4545455,27853.61692,7.435220126,4218.795846,6515.983385,4995.833333,1.73ms,blockpropagation
5,17100000,145.4545455,27493.92701,7.421245003,3813.823923,6404.904231,4995.416667,1.75ms,blockpropagation
5,17250000,145.4545455,27110.52531,7.414670317,4508.782538,7239.631077,4994.25,1.97ms,blockpropagation
5,17400000,145.4545455,26757.84614,6.839106655,5260.429833,7429.319417,4993.636364,2.07ms,blockpropagation
5,17550000,145.4545455,26309.10011,7.396494822,3800.570692,8011.112077,4994.75,1.55ms,blockpropagation
5,17700000,160,25994.55193,6.251875426,4579.772182,7902.078545,4995.1,1.99ms,blockpropagation
5,17850000,160,25713.8304,6.812102634,3717.413417,8630.0325,4996.272727,2.07ms,blockpropagation
5,18000000,160,25468.09511,6.238489453,7792.428667,7727.285818,4988.9,2.01ms,blockpropagation
5,18150000,160,25196.46994,6.792955035,3692.162875,7556.565,4995.454545,2.21ms,blockpropagation
5,18300000,160,24855.15311,6.787532526,4010.169917,7016.988583,4995.363636,1.71ms,blockpropagation
5,18450000,160,24551.51769,6.217877726,3911.89275,9829.413909,4995.1,1.77ms,blockpropagation
5,18600000,160,24223.13698,6.769664823,3375.125933,7766.965583,4995.363636,2.1ms,blockpropagation
5,18750000,160,23995.60717,6.199301093,3463.718571,8024.32,4993.6,1.95ms,blockpropagation
5,18900000,160,23670.27684,6.191757685,6397.1156,7739.642909,4990.4,1.97ms,blockpropagation
5,19050000,177.7777778,23417.88901,5.628767431,3836.499462,8358.9907,4994.222222,1.99ms,blockpropagation
5,19200000,177.7777778,23170.40057,6.178162211,3311.681889,8175.329545,4995.9,2.14ms,blockpropagation
5,19350000,177.7777778,22875.60442,6.167732526,7049.1875,7427.571091,4990.6,2.18ms,blockpropagation
5,19500000,177.7777778,22717.8154,5.60618626,5327.082722,9918.6809,4991.444444,dataread,blockpropagation
5,19650000,177.7777778,22517.39933,5.59453711,3711.557353,8356.172,4994.777778,dataread,blockpropagation
5,19800000,177.7777778,22229.80977,6.147249553,5347.762333,7835.242727,4992.5,2.2ms,blockpropagation
5,19950000,177.7777778,21983.62492,5.585213312,4192.949524,8529.6079,4993.666667,dataread,blockpropagation
5,20100000,177.7777778,21770.90214,5.57552432,3934.782813,8138.4507,4993.555556,dataread,blockpropagation
5,20250000,177.7777778,21506.64329,5.569916435,4848.4474,10309.0058,4991.222222,2.46ms,blockpropagation
5,20400000,177.7777778,21317.31021,5.564607679,5755.855053,8737.0874,4986,2.75ms,blockpropagation
5,20550000,177.7777778,21062.17148,5.557803468,4173.692188,8133.0801,4991.444444,2.43ms,blockpropagation
5,20700000,200,20843.67854,5.002442816,5179.674,11614.06978,4990.25,2.1ms,blockpropagation
5,20850000,200,20641.47657,5.547854053,5306.289556,8670.6303,4990,2.54ms,blockpropagation
5,21000000,200,20473.64042,5.534891449,3730.31287,9408.8512,4993.777778,2.95ms,blockpropagation
5,21150000,200,20277.6268,5.53081093,3810.351524,8902.7713,4995,2.79ms,blockpropagation
5,21300000,200,20132.71741,5.525303867,4344.005267,8452.7372,4995,2.31ms,blockpropagation
5,21450000,200,19928.91926,4.963686534,4022.253625,9689.034222,4993.25,2.82ms,blockpropagation
5,21600000,200,19691.28484,5.512455908,4157.52265,8508.8521,4993.666667,1.98ms,blockpropagation
5,21750000,200,19512.46919,5.504018496,3740.98516,8573.4369,4993.222222,2.49ms,blockpropagation
5,21900000,200,19283.52306,5.500494777,4384.776526,8525.447,4990.222222,2.78ms,blockpropagation
5,22050000,200,19054.59968,4.941350906,5512.692824,11431.33778,4991,2.47ms,blockpropagation
5,22200000,200,18900.32896,4.936046512,4416.955043,9990.878889,4991.875,2.88ms,blockpropagation
5,22350000,200,18697.8074,4.933705895,3547.7188,15330.73522,4992,2.83ms,blockpropagation
5,22500000,200,18561.13898,4.918463391,3593.271778,9052.253778,4993.25,3.38ms,blockpropagation
5,22650000,228.5714286,18432.83802,4.379864451,7160.991045,10148.7385,4983.571429,2.99ms,blockpropagation
5,22800000,228.5714286,18271.79315,4.9097063,3688.88932,9343.958444,4996,3.04ms,blockpropagation
5,22950000,228.5714286,18182.04112,4.908942203,3097.930879,9666.467222,4995.625,2.31ms,blockpropagation
5,23100000,228.5714286,17960.46369,4.902516066,5065.441345,9599.699111,4988.375,3.46ms,blockpropagation
5,23250000,228.5714286,17834.75778,4.892841601,4407.144655,9597.681333,4992.625,2.93ms,blockpropagation
5,23400000,228.5714286,17692.32083,4.346881113,4171.57124,10744.27238,4991.428571,3.19ms,blockpropagation
5,23550000,228.5714286,17547.2351,4.883763838,4046.375517,9503.054111,4994.75,3.56ms,blockpropagation
5,23700000,228.5714286,17384.74503,4.337272333,3964.714211,10455.80525,4994.571429,3.26ms,blockpropagation
5,23850000,228.5714286,17271.30446,4.33127572,4822.771125,27033.281,4986,3.37ms,blockpropagation
5,24000000,228.5714286,17115.16748,4.329367226,3751.074676,10891.8485,4990.714286,2.53ms,blockpropagation
5,24150000,228.5714286,17022.81827,4.859442524,4463.863645,10203.15178,4990.875,4.25ms,blockpropagation
5,24300000,228.5714286,16815.06437,4.852719033,3223.156813,9587.787444,4994.5,3.84ms,blockpropagation
5,24450000,228.5714286,16740.79528,4.3131803,3292.7312,12350.66513,4993.428571,3.57ms,blockpropagation
5,24600000,228.5714286,16515.88626,4.840275535,3729.847867,9501.352222,4993.75,3.43ms,blockpropagation
5,24750000,228.5714286,16381.95451,4.838546705,4064.733034,10709.19056,4993.25,3.19ms,blockpropagation
5,24900000,228.5714286,16237.85764,4.294307197,4019.176148,10343.58012,4991.571429,3.17ms,blockpropagation
5,25050000,228.5714286,16309.69204,4.296992481,4144.476455,10843.72462,4990.428571,3.66ms,blockpropagation
5,25200000,228.5714286,16231.93313,4.303222342,4120.81937,11896.5445,4992.142857,3.49ms,blockpropagation
5,25350000,228.5714286,16296.44457,4.289473684,3284.960971,12952.5055,4991.857143,3.57ms,blockpropagation
5,25500000,228.5714286,16288.90476,4.833404941,3495.172421,9385.498556,4993.625,3.04ms,blockpropagation
5,25650000,228.5714286,16336.25547,4.296562836,3451.751333,9351.87525,4993.571429,3.67ms,blockpropagation
5,25800000,228.5714286,16332.48631,4.298925886,3169.335516,10353.17088,4993.571429,3.68ms,blockpropagation
5,25950000,228.5714286,16309.33771,4.293877551,3475.855469,10948.04738,4992.857143,3.44ms,blockpropagation
5,26100000,228.5714286,16352.93601,4.296240602,4923.664333,15249.08637,4992.428571,4.26ms,blockpropagation
5,26250000,228.5714286,16331.90076,4.29538131,3320.126441,10265.7435,4991.857143,3.94ms,blockpropagation
5,26400000,228.5714286,16335.82602,4.298496241,3855.644175,11213.80788,4992.428571,4.35ms,blockpropagation
5,26550000,228.5714286,16300.84339,4.833834586,4712.889026,9863.896444,4988.75,3.76ms,blockpropagation
5,26700000,228.5714286,16325.978,4.295059076,4705.300429,18832.31,4992.428571,4.57ms,blockpropagation
5,26850000,228.5714286,16295.50756,4.296670247,5278.353364,10780.53263,4982.714286,5.11ms,blockpropagation
5,27000000,228.5714286,16281.4317,4.296777658,3398.313488,10369.96,4993.428571,3.56ms,blockpropagation
5,27150000,228.5714286,16370.24947,4.296240602,3510.135744,11310.82463,4992.428571,3.95ms,blockpropagation
5,27300000,228.5714286,16263.92963,4.298818475,3596.807694,10703.734,4992.571429,4.37ms,blockpropagation
5,27450000,228.5714286,16281.94738,4.294199785,3728.751311,16471.52313,4992.428571,4.55ms,blockpropagation
5,27600000,228.5714286,16288.11861,4.296348013,3691.564,11134.24988,4992.714286,3.76ms,blockpropagation
5,27750000,228.5714286,16330.11949,4.296777658,3923.184718,11013.47775,4991.571429,4.68ms,blockpropagation
5,27900000,228.5714286,16355.35996,4.836519871,3025.875809,15071.36089,4994,4.09ms,blockpropagation
5,28050000,228.5714286,16292.94451,4.293877551,3906.502471,10919.85912,4992.571429,4.52ms,blockpropagation
5,28200000,228.5714286,16309.95213,4.295703545,3597.891872,10611.76125,4992.857143,4.44ms,blockpropagation
5,28350000,228.5714286,16295.76465,4.296670247,3246.422524,10997.4295,4992.714286,3.52ms,blockpropagation
5,28500000,228.5714286,16329.2371,4.296670247,3582.18995,11189.245,4992.428571,4.42ms,blockpropagation
5,28650000,228.5714286,16324.76153,4.29613319,3872.101459,11091.0935,4993,3.66ms,blockpropagation
5,28800000,228.5714286,16321.5623,4.833941998,4465.441125,13618.22089,4993.5,5.34ms,blockpropagation
5,28950000,228.5714286,16318.65729,4.29688507,3671.974267,42418.38925,4993.142857,4.48ms,blockpropagation
5,29100000,228.5714286,16336.5638,4.83254565,4597.979878,9914.526778,4993,5.21ms,blockpropagation
5,29250000,228.5714286,16315.26972,4.296240602,3758.316162,11199.02463,4991.428571,5.24ms,blockpropagation
5,29400000,228.5714286,16344.85077,4.296025779,3768.438973,11025.5605,4993.285714,4.72ms,blockpropagation
5,29550000,228.5714286,16323.05812,4.296562836,4259.788488,11052.3725,4989,3.73ms,blockpropagation
5,29700000,228.5714286,16320.49669,4.296025779,3615.593357,10335.30375,4992.285714,4.74ms,blockpropagation
5,29850000,228.5714286,16326.14598,4.29613319,3526.835739,10961.95588,4990.857143,4.76ms,blockpropagation
5,30000000,228.5714286,16330.28971,4.296670247,3406.025163,11513.67963,4992.571429,4.22ms,blockpropagation
6,15000000,190.4761905,16328.24109,4.833404941,5709.489442,11184.74811,4987.625,4.45ms,blockpropagation
6,15150000,190.4761905,16248.07374,4.835553169,3877.572326,6189.328,4991.75,5.32ms,blockpropagation
6,15300000,190.4761905,16319.45707,4.294307197,4377.590149,9231.53725,4993,4.84ms,blockpropagation
6,15450000,190.4761905,16266.35646,4.296455424,4135.643957,9386.70525,4993,5.35ms,blockpropagation
6,15600000,190.4761905,16296.39283,4.29613319,4405.209686,8707.051625,4988.857143,5.61ms,blockpropagation
6,15750000,190.4761905,16316.8279,4.296562836,4145.401106,9456.342,4992,5.27ms,blockpropagation
