period,gaslimit,readtime,dbwritetime,dbreaadtime,blockcommittime,tps,latency,contracttime
5,15000000,1.32ms,7943.983187499999µs,3625.957500000001µs,4982.428571428572ms,114.2857143,33212.14727639543ms,7.320092915214866ms
5,16500000,1.37ms,2837.7300666666665µs,4896.483666666667µs,4995.5ms,123.0769231,33668.41642512077ms,6.731121679619534ms
5,18000000,1.42ms,4184.988666666667µs,4746.198466666666µs,4990.166666666667ms,123.0769231,32874.339299171064ms,6.724860982391103ms
5,19500000,1.4ms,3170.0506µs,5076.964400000001µs,4994.333333333333ms,123.0769231,33537.44570563753ms,6.713839389030317ms
5,21000000,1.31ms,3834.9218666666666µs,5051.385933333335µs,4993.166666666667ms,123.0769231,31887.957811596996ms,6.704842251242344ms
5,22500000,1.36ms,4233.8355µs,5804.399285714286µs,4992.4ms,133.3333333,33556.532211814185ms,6.121191135734072ms
5,24000000,1.65ms,3649.4644285714285µs,5843.501357142857µs,4995ms,133.3333333,31914.427276473012ms,6.11550432276657ms
5,25500000,1.36ms,4553.335928571428µs,5891.695785714286µs,4988.8ms,133.3333333,30708.210506280928ms,6.1062751871042025ms
5,27000000,1.39ms,3167.4784999999997µs,5816.694071428571µs,4994.8ms,133.3333333,31529.084736355228ms,6.097976080956761ms
5,28500000,1.45ms,6980.167357142856µs,6570.8635µs,4988.8ms,133.3333333,30174.415065626785ms,6.091420695991731ms
5,30000000,1.56ms,3374.3626428571433µs,5730.563428571429µs,4993.6ms,133.3333333,31348.4112654321ms,6.082358339068594ms
6,15000000,1.73ms,3389.336846153846µs,6454.334000000001µs,4994ms,121.2121212,28015.34400767018ms,5.503723221445756ms
6,16500000,1.65ms,3974.816615384615µs,7005.098692307692µs,4992.5ms,121.2121212,27647.928571428572ms,5.496853186863485ms
6,18000000,1.46ms,5924.011923076923µs,6217.075153846154µs,4993ms,121.2121212,26717.36895621498ms,5.489028571428571ms
6,19500000,1.55ms,4105.13023076923µs,6117.230999999999µs,4992.25ms,121.2121212,26577.500368459838ms,5.482250884602214ms
6,21000000,1.72ms,3374.787µs,6824.0599999999995µs,4992.5ms,121.2121212,27977.482440990214ms,5.477998176014592ms
6,22500000,1.79ms,3250.588769230769µs,6386.026923076924µs,4995.25ms,121.2121212,27359.213974626018ms,5.468860298303541ms
6,24000000,1.72ms,3751.781461538461µs,6092.1285384615385µs,4992ms,121.2121212,25789.833115060803ms,5.460427564248351ms
6,25500000,1.71ms,3700.653750000001µs,6847.553583333333µs,4994.333333333333ms,133.3333333,27222.79665686995ms,4.88847245883021ms
6,27000000,1.85ms,3489.5338333333334µs,7647.621416666666µs,4994ms,133.3333333,24878.16801948052ms,4.883053539019964ms
6,28500000,1.82ms,4310.86175µs,6634.956666666665µs,4991.666666666667ms,133.3333333,25964.912304165075ms,4.880480344397871ms
6,30000000,1.58ms,6872.164250000001µs,3955.7667857142865µs,4992.666666666667ms,133.3333333,26318.617060637203ms,4.870770623514767ms
7,15000000,1.78ms,7300.212833333334µs,9848.332615384616µs,4983.666666666667ms,114.2857143,25021.139208173692ms,4.864263110307414ms
7,16500000,1.83ms,6986.3682499999995µs,3969.486375µs,4990.333333333333ms,114.2857143,26424.489241469244ms,4.858013544018059ms
7,18000000,1.83ms,7819.536750000002µs,3485.53375µs,4991.666666666667ms,114.2857143,23512.447715109098ms,4.850749633637696ms
7,19500000,1.76ms,6174.752500000001µs,4087.4585625µs,4987.333333333333ms,114.2857143,23679.76049270073ms,4.843503715379419ms
